experiment,arch,n_train_pairs,n_val_pairs,tau_bench300,top1_bench300,tau_gen_ood,top1_gen_ood,train_acc,val_acc,overfit_gap
E1_ood_to_ood,linear,4020,710,0.14766081871345033,4.240380532211727,0.16901408450704225,4.4653986037617,0.6299999952316284,0.577464759349823,0.05253523588180542
E1_ood_to_ood,32,4020,710,0.029532163742690062,4.607602778408262,0.304225352112676,4.259632422050959,0.7120000123977661,0.6211267709732056,0.09087324142456055
E1_ood_to_ood,v2,4020,710,0.2108187134502924,4.044613871309492,0.3859154929577465,4.0608422437184295,0.7484999895095825,0.674647867679596,0.07385212182998657
E2_bench_to_bench,linear,38757,6840,0.21783625730994152,4.32338610291481,0.13802816901408446,4.722391546612054,0.640999972820282,0.6089181303977966,0.03208184242248535
E2_bench_to_bench,32,38757,6840,0.19415204678362574,4.166080554326375,0.08732394366197184,4.519047907540496,0.8059999942779541,0.590204656124115,0.2157953381538391
E2_bench_to_bench,v2,38757,6840,0.2526315789473684,4.234755522674984,0.21690140845070424,4.525595765718272,0.8270000219345093,0.6054093837738037,0.22159063816070557
E3_ood_to_bench,linear,4020,710,0.07602339181286549,4.450969437758128,0.22253521126760564,4.488381694739973,0.590499997138977,0.5957746505737305,-0.005274653434753418
E3_ood_to_bench,32,4020,710,0.15175438596491225,4.35555276605818,0.19154929577464785,4.496240841670775,0.7714999914169312,0.5957746505737305,0.17572534084320068
E3_ood_to_bench,v2,4020,710,0.21023391812865497,4.154341667890549,0.4169014084507042,4.0698760529639015,0.7379999756813049,0.6802816987037659,0.05771827697753906
E4_bench_to_ood,linear,38757,6840,0.21461988304093566,4.291361103455226,0.07323943661971832,4.827911270336366,0.6644999980926514,0.594298243522644,0.07020175457000732
E4_bench_to_ood,32,38757,6840,0.25877192982456143,4.048102772898144,0.11549295774647886,4.646925343594081,0.7829999923706055,0.6154970526695251,0.16750293970108032
E4_bench_to_ood,v2,38757,6840,0.27134502923976606,4.105236113071442,0.20845070422535208,4.629284511989271,0.8295000195503235,0.6356725096702576,0.19382750988006592
E5_25B_75G,linear,12699,6840,0.1444444444444445,4.247147222359975,0.1323943661971831,4.6908084573880044,0.5945000052452087,0.5638889074325562,0.030611097812652588
E5_25B_75G,32,12699,6840,0.15760233918128658,4.3557305335998535,0.10422535211267604,4.625680285440365,0.7484999895095825,0.5668128728866577,0.1816871166229248
E5_25B_75G,v2,12699,6840,0.20350877192982456,4.101177765263452,0.3211267605633803,4.285618327872854,0.7875000238418579,0.5938596725463867,0.1936403512954712
E5_50B_50G,linear,21389,6840,0.1669590643274854,4.070991635322571,0.11267605633802816,4.823387344118575,0.6029999852180481,0.5622807145118713,0.04071927070617676
E5_50B_50G,32,21389,6840,0.18801169590643274,4.165552788310581,0.19436619718309855,4.28591126623288,0.7070000171661377,0.5897660851478577,0.11723393201828003
E5_50B_50G,v2,21389,6840,0.2593567251461988,4.083647221326828,0.28450704225352114,4.303980285852727,0.7829999923706055,0.6114035248756409,0.1715964674949646
E5_75B_25G,linear,30067,6840,0.19502923976608189,4.220555533965428,0.06478873239436618,4.848594375059638,0.6000000238418579,0.5947368144989014,0.005263209342956543
E5_75B_25G,32,30067,6840,0.20935672514619885,4.12462498082055,0.16056338028169015,4.572956337895192,0.7620000243186951,0.5906432867050171,0.17135673761367798
E5_75B_25G,v2,30067,6840,0.28070175438596495,4.046888874636756,0.21408450704225354,4.359683111519881,0.7875000238418579,0.640350878238678,0.14714914560317993
E6_real_bench300,v2,38757,6840,0.29385964912280704,,0.2169014084507042,,0.8305000066757202,0.6407894492149353,0.1897105574607849
E6_random_bench300,v2,38757,6840,0.11286549707602339,,-0.050704225352112664,,0.5210000276565552,0.49444442987442017,0.02655559778213501
E6_real_gen_ood,v2,4020,710,0.21198830409356725,,0.4225352112676056,,0.7484999895095825,0.6788732409477234,0.06962674856185913
E6_random_gen_ood,v2,4020,710,-0.10409356725146199,,0.11830985915492959,,0.5649999976158142,0.4985915422439575,0.06640845537185669
E7_bench300,linear,38757,6840,0.22309941520467838,4.270116630527708,0.0647887323943662,4.8616633759418,0.6620000004768372,0.6115497350692749,0.050450265407562256
E7_bench300,v2,38757,6840,0.2804093567251462,4.064305537276798,0.2084507042253521,4.556940842682208,0.8209999799728394,0.6285087466239929,0.19249123334884644
E7_gen_ood,linear,4020,710,0.08304093567251462,4.423544410202238,0.2084507042253521,4.521395784868321,0.6179999709129333,0.6042253375053406,0.013774633407592773
E7_gen_ood,v2,4020,710,0.1912280701754386,4.212216648790571,0.4140845070422535,4.083799986772134,0.762499988079071,0.674647867679596,0.0878521203994751
