w_conf,w_ref2015,tau,top1,gaprec,pbest,n
0.0,1.0,0.14444444444444443,4.336858333333333,0.5584203874343474,0.2777777777777778,36
0.1,0.9,0.1611111111111111,4.2574555555555555,0.5882110860670517,0.3333333333333333,36
0.2,0.8,0.1611111111111111,4.2574555555555555,0.5882110860670517,0.3333333333333333,36
0.3,0.7,0.17222222222222222,4.245699999999999,0.5864736600359857,0.3333333333333333,36
0.4,0.6,0.17777777777777778,4.204936111111111,0.6025423996434234,0.3611111111111111,36
0.5,0.5,0.18888888888888888,4.101741666666666,0.6565093024049247,0.4166666666666667,36
0.6,0.4,0.2444444444444444,3.9902666666666673,0.703795767539631,0.4722222222222222,36
0.7,0.30000000000000004,0.2444444444444444,4.129994444444445,0.6087933775278205,0.4166666666666667,36
0.8,0.19999999999999996,0.2444444444444444,4.150327777777778,0.6194637750520198,0.4444444444444444,36
0.9,0.09999999999999998,0.2444444444444444,4.178116666666666,0.6370029402651428,0.4722222222222222,36
1.0,0.0,0.2666666666666666,4.130138888888889,0.6586340393534105,0.4722222222222222,36
