arch,n_params,tau,top1,train_acc,val_acc,overfit_gap,best_epoch
96→1,97,0.20058479532163742,4.090944444444444,0.5805000066757202,0.6002923846244812,-0.019792377948760986,7
96→16→1,1569,0.1502923976608187,4.160252777777778,0.6955000162124634,0.5751461982727051,0.1203538179397583,29
96→32→1,3137,0.13508771929824565,4.241752777777777,0.6172500252723694,0.5675438642501831,0.04970616102218628,1
96→64→1,6273,0.235672514619883,4.327958333333333,0.7540000081062317,0.6178362369537354,0.13616377115249634,16
96→128→64→1,20993,0.28918128654970765,3.9810222222222222,0.7787500023841858,0.6445906162261963,0.1341593861579895,20
96→256→128→1,58369,0.243859649122807,4.2415416666666665,0.8257499933242798,0.6219298243522644,0.20382016897201538,35
