fold,w_conf,tau,top1,gaprec,pbest,n
0,0.0,0.20833333333333334,4.220572916666667,0.6124210087698333,0.2708333333333333,48
0,0.1,0.2125,4.236779166666667,0.5923623802273349,0.22916666666666666,48
0,0.2,0.22083333333333333,4.249064583333333,0.5835279919361838,0.1875,48
0,0.3,0.22499999999999998,4.124814583333333,0.6215546897971072,0.22916666666666666,48
0,0.4,0.2125,4.090783333333333,0.6317761992488424,0.2708333333333333,48
0,0.5,0.24583333333333332,4.075129166666667,0.6347263844966813,0.2708333333333333,48
0,0.6,0.2333333333333333,4.093572916666667,0.6404866653023016,0.2916666666666667,48
0,0.7,0.23749999999999996,4.0374375,0.6439503635652398,0.2916666666666667,48
0,0.8,0.2125,4.092085416666667,0.6187294494496645,0.22916666666666666,48
0,0.9,0.17916666666666667,4.127327083333333,0.5947542956864825,0.20833333333333334,48
0,1.0,0.18333333333333335,4.169877083333334,0.5840348295228452,0.1875,48
1,0.0,0.2333333333333333,4.09740625,0.6792987963623721,0.3125,48
1,0.1,0.22916666666666666,4.104979166666666,0.6652408457142983,0.2708333333333333,48
1,0.2,0.2333333333333333,4.193583333333334,0.6469972971956452,0.22916666666666666,48
1,0.3,0.1958333333333333,4.45525625,0.5906739053665725,0.16666666666666666,48
1,0.4,0.1875,4.43755625,0.5922939833499873,0.16666666666666666,48
1,0.5,0.1958333333333333,4.450935416666667,0.5890845893541169,0.14583333333333334,48
1,0.6,0.20833333333333334,4.460302083333333,0.5930262369048632,0.14583333333333334,48
1,0.7,0.1708333333333333,4.4930125,0.5695896756409288,0.125,48
1,0.8,0.1333333333333333,4.474266666666666,0.5735608478154723,0.14583333333333334,48
1,0.9,0.10416666666666664,4.453783333333334,0.5817699426108127,0.16666666666666666,48
1,1.0,0.075,4.501433333333334,0.5669294897689718,0.16666666666666666,48
2,0.0,0.18333333333333335,4.369664583333333,0.5940592057905448,0.1875,48
2,0.1,0.16666666666666666,4.33463125,0.6048972712724124,0.16666666666666666,48
2,0.2,0.17916666666666667,4.329483333333333,0.5967842591661925,0.16666666666666666,48
2,0.3,0.1875,4.25088125,0.5982434241258758,0.16666666666666666,48
2,0.4,0.18333333333333332,4.262252083333333,0.5826860994342257,0.16666666666666666,48
2,0.5,0.12916666666666665,4.304095833333333,0.5686342317966808,0.125,48
2,0.6,0.1208333333333333,4.230920833333333,0.5952443439455165,0.16666666666666666,48
2,0.7,0.11666666666666665,4.178502083333334,0.616962660077791,0.1875,48
2,0.8,0.08750000000000001,4.20165625,0.5745386591325881,0.16666666666666666,48
2,0.9,0.05833333333333333,4.280872916666667,0.5260295642447697,0.14583333333333334,48
2,1.0,0.020833333333333332,4.292522916666667,0.5265609053141455,0.16666666666666666,48
3,0.0,0.15833333333333333,4.373004166666667,0.5516659851730646,0.22916666666666666,48
3,0.1,0.15416666666666665,4.337587500000001,0.5827793096850582,0.2916666666666667,48
3,0.2,0.17916666666666667,4.355885416666666,0.5691827882739863,0.2916666666666667,48
3,0.3,0.20416666666666664,4.205597916666666,0.5919400054102658,0.3125,48
3,0.4,0.2333333333333333,4.0900791666666665,0.612918435919176,0.3333333333333333,48
3,0.5,0.22916666666666666,4.119764583333333,0.5988892643652423,0.3125,48
3,0.6,0.24583333333333335,4.052170833333333,0.6173281396715152,0.3333333333333333,48
3,0.7,0.24583333333333326,4.1566875,0.588880204702918,0.3125,48
3,0.8,0.25416666666666665,4.1395124999999995,0.5967844860490731,0.2916666666666667,48
3,0.9,0.2125,4.257583333333334,0.5492941925195353,0.1875,48
3,1.0,0.1625,4.357325,0.5202321391059784,0.16666666666666666,48
4,0.0,0.08749999999999998,4.381985416666667,0.546528473489301,0.25,48
4,0.1,0.09999999999999999,4.396441666666667,0.5110934411414985,0.22916666666666666,48
4,0.2,0.09166666666666666,4.3822979166666665,0.5098619523168055,0.25,48
4,0.3,0.10000000000000002,4.320314583333333,0.5426389788613486,0.2708333333333333,48
4,0.4,0.11249999999999999,4.287277083333334,0.5451311167813325,0.2708333333333333,48
4,0.5,0.17916666666666667,4.1704895833333335,0.6066901846828916,0.3333333333333333,48
4,0.6,0.19166666666666665,4.197379166666667,0.5897576520461093,0.3125,48
4,0.7,0.2208333333333333,4.23663125,0.5866725047286071,0.2916666666666667,48
4,0.8,0.23750000000000002,4.236466666666667,0.5764221258773684,0.2916666666666667,48
4,0.9,0.24166666666666667,4.25905625,0.5600284752148736,0.25,48
4,1.0,0.25,4.2426375,0.5642095089919549,0.2708333333333333,48
