n_variants,matched_pairs,seed,n_train_pairs,tau,top1,train_acc,val_acc,best_epoch
1,False,0,2040,0.15146198830409355,4.332211111111111,0.6338235139846802,0.5761696100234985,29
1,True,0,2040,0.1766081871345029,4.3036916666666665,0.6436274647712708,0.5818713307380676,39
1,False,1,2040,0.18567251461988304,4.313177777777778,0.6539215445518494,0.582602322101593,47
1,True,1,2040,0.16578947368421054,4.311755555555554,0.6392157077789307,0.5735380053520203,38
1,False,2,2040,0.1631578947368421,4.25055,0.6289215683937073,0.5755847692489624,39
1,True,2,2040,0.15906432748538013,4.310747222222222,0.6348039507865906,0.5698830485343933,47
1,False,3,2040,0.1593567251461988,4.301241666666666,0.6465686559677124,0.5723684430122375,38
1,True,3,2040,0.16403508771929823,4.302677777777777,0.6529411673545837,0.5758771896362305,38
1,False,4,2040,0.16491228070175437,4.289083333333333,0.645588219165802,0.5764619708061218,35
1,True,4,2040,0.19064327485380114,4.30418611111111,0.6426470875740051,0.5840643048286438,46
2,False,0,9179,0.21549707602339177,4.260422222222221,0.7645000219345093,0.5929824709892273,31
2,True,0,2040,0.17602339181286547,4.346186111111111,0.626960813999176,0.5805555582046509,42
2,False,1,9179,0.21403508771929824,4.104947222222223,0.781499981880188,0.5956140160560608,35
2,True,1,2040,0.16695906432748533,4.283311111111111,0.6284313797950745,0.5798245668411255,30
2,False,2,9179,0.21900584795321637,4.223772222222221,0.7807499766349792,0.5957602262496948,36
2,True,2,2040,0.17660818713450294,4.237788888888889,0.647549033164978,0.5820175409317017,40
2,False,3,9179,0.252046783625731,4.168688888888889,0.7425000071525574,0.605847954750061,23
2,True,3,2040,0.16988304093567252,4.278888888888889,0.6264705657958984,0.5754386186599731,35
2,False,4,9179,0.25350877192982463,4.263730555555555,0.7699999809265137,0.6144737005233765,34
2,True,4,2040,0.15877192982456143,4.365827777777778,0.6004902124404907,0.5728070139884949,39
4,False,0,38757,0.23157894736842108,4.273091666666666,0.8212500214576721,0.6086257100105286,44
4,True,0,2040,0.16023391812865495,4.249944444444443,0.6303921341896057,0.5733917951583862,23
4,False,1,38757,0.3128654970760234,3.986330555555555,0.7167500257492065,0.6279239654541016,6
4,True,1,2040,0.20029239766081872,4.255325,0.6372548937797546,0.594298243522644,39
4,False,2,38757,0.27046783625730986,4.254888888888889,0.7477499842643738,0.6154970526695251,7
4,True,2,2040,0.18450292397660817,4.234238888888888,0.6436274647712708,0.5763157606124878,29
4,False,3,38757,0.30000000000000004,4.002377777777777,0.7587500214576721,0.6187134385108948,8
4,True,3,2040,0.15789473684210528,4.216230555555555,0.6191176176071167,0.5663742423057556,32
4,False,4,38757,0.2213450292397661,4.349372222222222,0.7402499914169312,0.6049707531929016,6
4,True,4,2040,0.1558479532163743,4.4103055555555555,0.6058823466300964,0.5709064602851868,31
